created_at;account.id;in_reply_to_account_id;
2018-04-09T23:32:43.871Z;574;574;
2018-04-09T23:31:30.472Z;574;574;
2018-04-11T16:52:51.553Z;10;-1;
2018-04-11T16:51:44.000Z;621;-1;
2018-04-11T16:48:37.000Z;3730;-1;
2018-04-11T16:48:08.000Z;1828;-1;
2018-04-11T16:48:03.000Z;1806;-1;
2018-04-11T16:47:43.000Z;593;-1;
2018-04-11T16:45:19.000Z;356;-1;
2018-04-11T16:44:52.397Z;159;-1;
2018-04-11T16:43:32.264Z;80;-1;
2018-04-11T16:40:41.271Z;1076;-1;
2018-04-11T16:39:36.861Z;8;-1;
2018-04-11T16:39:00.264Z;159;-1;
2018-04-11T16:38:17.000Z;717;-1;
2018-04-11T16:37:03.547Z;101;101;
2018-04-11T16:36:21.723Z;573;573;
2018-04-11T16:36:16.484Z;573;-1;
2018-04-11T16:35:30.542Z;101;-1;
2018-04-11T16:34:00.000Z;1676;-1;
2018-04-11T16:33:50.879Z;101;-1;
2018-04-11T16:33:44.991Z;159;-1;
2018-04-11T16:29:37.420Z;385;-1;
2018-04-11T16:28:37.000Z;1079;-1;
2018-04-11T16:26:09.000Z;1103;-1;
2018-04-11T16:21:24.000Z;1227;-1;
2018-04-11T16:21:18.000Z;1135;-1;
2018-04-11T16:21:05.000Z;2811;-1;
2018-04-11T16:11:5400Z;356;356;
2018-04-11T16:11:21.000Z;356;-1;
2018-04-11T16:01:17.654Z;1657;-1;
2018-04-11T15:59:31.000Z;313;-1;
2018-04-11T15:47:16.581Z;101;-1;
2018-04-11T15:46:36.432Z;101;-1;
2018-04-11T15:44:1500Z;895;895;
2018-04-11T15:42:45.014Z;1044;-1;
2018-04-11T15:36:22.000Z;1666;-1;
2018-04-11T15:34:15.000Z;782;-1;
2018-04-11T15:33:28.311Z;574;-1;
2017-10-19T18:15:18.000Z;351;-1;
2017-10-19T12:24:42.000Z;971;-1;
2017-10-19T11:21:28.000Z;1095;-1;
2017-10-19T02:51:45.000Z;501;-1;
2017-10-18T23:02:02.000Z;903;-1;
2017-10-18T11:29:52.000Z;1748;-1;
2017-10-18T07:26:40.000Z;1323;-1;
2017-10-18T06:51:32.000Z;1341;-1;
2017-10-18T01:39:48.000Z;1373;-1;
2017-10-17T15:08:38.000Z;544;-1;
2017-10-17T15:07:52.000Z;2023;-1;
2017-10-17T14:41:59.000Z;2375;-1;
2017-10-17T14:20:54.000Z;2411;-1;
2017-10-17T10:18:51.000Z;3256;-1;
2017-10-17T04:28:21.000Z;2109;-1;
2017-10-17T02:23:39.000Z;2919;-1;
2017-10-17T01:48:22.000Z;1373;-1;
2017-10-17T01:31:29.000Z;3305;-1;
2017-10-17T01:24:23.000Z;628;-1;
2017-10-16T23:58:14.000Z;3305;-1;
2017-10-16T21:21:25.000Z;3305;-1;
2017-10-16T14:51:26.000Z;1943;-1;
2017-10-16T01:34:01.000Z;1079;-1;
2017-10-15T19:51:20.000Z;750;-1;
2017-10-15T17:26:22.000Z;3249;-1;
2017-10-15T03:06:06.000Z;2830;-1;
2017-10-14T04:16:40.000Z;3588;-1;
2017-10-13T21:35:10.000Z;750;-1;
2017-10-13T19:08:44.000Z;2713;-1;
2017-10-13T19:04:49.000Z;1626;-1;
2017-10-13T18:58:0700Z;2222;2222;
2017-10-13T18:52:10.000Z;2222;-1;
2017-10-13T18:03:20.000Z;359;-1;
2017-10-13T17:58:23.000Z;2795;-1;
2017-10-13T15:49:23.000Z;280;-1;
2017-10-13T15:44:24.000Z;3135;-1;
2017-10-13T14:21:53.000Z;11;-1;
2017-10-13T14:17:01.000Z;2050;-1;
2017-10-13T14:10:34.000Z;2339;-1;
2018-04-26T02:15:51.000Z;3146;-1;
2018-04-26T02:12:38.000Z;3044;-1;
2018-04-26T02:02:45.000Z;3047;-1;
2018-04-26T02:00:06.000Z;1348;-1;
2018-04-26T01:59:17.000Z;532;-1;
2018-04-26T01:53:06.000Z;743;-1;
2018-04-26T01:38:00.000Z;1578;-1;
2018-04-26T01:37:07.000Z;515;-1;
2018-04-26T01:28:26.000Z;611;-1;
2018-04-26T01:24:15.396Z;568;-1;
2018-04-26T01:11:29.000Z;989;-1;
