created_at;account.id;in_reply_to_account_id;;;
2017-11-04T17:58:2300Z;1118;-1;;;
2017-11-04T22:41:3300Z;831;-1;;;
2017-11-04T22:42:3700Z;831;-1;;;
2017-11-04T22:44:5800Z;831;831;;;
2017-11-05T05:55:5200Z;966;-1;;;
2017-11-05T21:03:0900Z;3012;-1;;;
2017-11-05T22:08:3000Z;3436;-1;;;
2017-11-05T22:21:2100Z;664;-1;;;
2017-11-05T22:36:3100Z;632;-1;;;
2017-11-05T22:52:0600Z;2382;-1;;;
2017-11-05T22:56:0000Z;1034;-1;;;
2017-11-05T22:58:3000Z;641;-1;;;
2017-11-05T23:00:0600Z;1290;-1;;;
2017-11-05T23:12:0100Z;1542;-1;;;
2017-11-05T23:14:0700Z;159;-1;;;
2017-11-05T23:16:4700Z;159;159;;;
2017-11-05T23:19:0900Z;159;159;;;
2017-11-05T23:23:0600Z;2682;-1;;;
2017-11-05T23:36:0400Z;1267;-1;;;
2017-11-06T03:35:5400Z;2682;-1;;;
2017-11-06T10:45:5500Z;1001;-1;;;
2017-11-07T02:06:5800Z;407;-1;;;
2017-11-07T03:20:4900Z;1497;-1;;;
2017-11-07T14:56:2100Z;855;-1;;;
2017-11-07T18:41:2400Z;1266;-1;;;
2017-11-08T00:02:2900Z;12;-1;;;
2017-11-08T02:37:3800Z;3440;-1;;;
2017-11-08T14:21:3900Z;682;-1;;;
2017-11-08T14:28:1900Z;1242;-1;;;
2017-11-08T18:02:0000Z;836;836;;;
2017-11-08T23:52:3400Z;2755;-1;;;
2017-11-09T00:07:3400Z;1665;-1;;;
2017-11-09T00:18:1400Z;2045;-1;;;
2017-11-09T02:20:3300Z;3040;-1;;;
2017-11-09T21:56:4200Z;3267;-1;;;
2017-11-10T01:11:4800Z;1665;-1;;;
2017-11-10T01:13:0100Z;3043;-1;;;
2017-11-10T06:58:0400Z;682;-1;;;
2017-11-10T16:13:2300Z;3669;-1;;;
2017-11-10T16:26:5700Z;3714;-1;;;
2017-11-10T21:57:5700Z;2110;-1;;;
2017-11-11T00:55:4800Z;3606;-1;;;
2017-11-11T01:31:2000Z;1478;-1;;;
2017-11-11T02:13:1200Z;2734;-1;;;
2017-11-11T03:13:1700Z;2643;-1;;;
2017-11-11T04:28:2700Z;656;-1;;;
2017-11-11T09:45:5300Z;2229;-1;;;
2017-11-11T18:31:4900Z;3006;-1;;;
2017-11-11T19:36:0300Z;3038;-1;;;
2017-11-11T20:21:0100Z;3229;-1;;;
2017-11-11T20:34:0100Z;1949;-1;;;
2017-11-11T22:42:5600Z;2942;-1;;;
2017-11-11T23:47:3200Z;643;-1;;;
2017-11-12T03:25:0200Z;997;-1;;;
2017-11-12T03:28:4800Z;997;997;;;
2017-11-12T03:35:2200Z;997;-1;;;
2017-11-12T04:27:5100Z;44;-1;;;
2017-11-12T05:29:1700Z;1567;-1;;;
2017-11-12T13:56:3300Z;2064;-1;;;
2017-11-12T15:53:4600Z;3327;-1;;;
2017-11-12T17:22:1100Z;325;-1;;;
2017-11-12T18:30:3900Z;3043;-1;;;
2017-11-12T18:32:5700Z;1715;-1;;;
2017-11-12T20:53:0000Z;3229;-1;;;
2017-11-12T21:22:3400Z;2419;-1;;;
2017-11-12T23:46:5000Z;857;-1;;;
2017-11-12T23:50:0000Z;948;-1;;;
2017-11-13T00:16:2800Z;1793;-1;;;
2017-11-13T01:30:3600Z;1433;-1;;;
